name1,log_L_agn,log_L_agn_err,t_cent,t_c_perr,t_c_perr,t_peak,t_p_perr,t_p_nerr,line,z
3C120,44.01,0.05,38.1,21.3,21.3,32,10,9,4861,0.03301
3C120,43.87,0.05,25.9,2.3,2.3,25.6,2.4,2.4,4861,0.03301
3C390.3,44.43,0.03,46.4,3.6,3.6,46.5,5,3.5,4861,0.0561
3C390.3,43.62,0.1,23.6,6.2,6.2,27,8,11,4861,0.0561
Ark120,43.57,0.1,37.1,4.8,4.8,36,16,9,4861,0.03271
Ark120,43.92,0.06,47.1,8.3,8.3,50,9,12,4861,0.03271
Arp151,42.48,0.11,3.99,0.49,0.49,3.43,0.73,0.24,4861,0.02109
Fairall9,43.92,0.05,17.4,3.2,3.2,18,3,4,4861,0.04702
Mrk110,43.47,0.05,33.3,14.9,14.9,24,5,3,4861,0.03529
Mrk110,43.62,0.04,24.3,5.5,5.5,25,5,11,4861,0.03529
Mrk110,43.69,0.04,20.4,10.5,10.5,20,12,7,4861,0.03529
Mrk1310,42.23,0.17,3.66,0.59,0.59,3.68,0.49,0.49,4861,0.01956
Mrk142,43.54,0.04,2.74,0.73,0.73,2.63,0.96,0.72,4861,0.04494
Mrk202,42.2,0.18,3.05,1.73,1.73,2.94,1.47,1.22,4861,0.02102
Mrk279,43.64,0.08,16.7,3.9,3.9,18,4,7,4861,0.03045
Mrk290,43.11,0.06,8.72,1.21,1.21,9.2,1.5,1.4,4861,0.02958
Mrk335,43.68,0.06,14.3,0.7,0.7,14,0.9,0.9,4861,0.02579
Mrk335,43.7,0.06,16.8,4.8,4.8,18,5,6,4861,0.02579
Mrk335,43.78,0.05,12.5,6.6,6.6,13,9,7,4861,0.02579
Mrk509,44.13,0.05,79.6,6.1,6.1,76,6,7,4861,0.0344
Mrk590,43.59,0.06,28.8,3.6,3.6,29,8,5,4861,0.02639
Mrk590,43.53,0.07,20.7,3.5,3.5,20,5,3,4861,0.02639
Mrk590,43.07,0.11,14,8.5,8.5,17,8,7,4861,0.02639
Mrk590,43.32,0.08,29.2,4.9,4.9,31,4,8,4861,0.02639
Mrk79,43.57,0.07,9,8.3,8.3,9,7,9,4861,0.02219
Mrk79,43.67,0.07,16.1,6.6,6.6,19,11,12,4861,0.02219
Mrk79,43.6,0.07,16,6.4,6.4,16,10,6,4861,0.02219
Mrk817,43.78,0.05,14.04,3.41,3.41,16,3.9,5.3,4861,0.03146
Mrk817,43.73,0.05,19,3.9,3.9,20,2,5,4861,0.03146
Mrk817,43.61,0.05,15.3,3.7,3.7,16,3,4,4861,0.03146
Mrk817,43.61,0.05,33.6,6.5,6.5,35,10,7,4861,0.03146
NGC3227,42.24,0.11,3.75,0.76,0.76,2.99,2,1,4861,0.00386
NGC3516,42.73,0.21,11.68,1.02,1.02,7.43,1.99,0.99,4861,0.00884
NGC3783,42.55,0.18,10.2,3.3,3.3,9,5,2,4861,0.00973
