NAME,Object,tau(Hb) days,errlo km/s,errhi km/s,FWHM(Hb) Msun,err1,sigma(Hb) erg/s,err2,log(Mbh),errlo1,errhi1,log(eddratio),errlo2,errhi2,logL5100,err
Mrk335,8.7,-1.9,1.6,2096,170,1470,50,6.87,-0.14,0.1,1.28,-0.3,0.37,43.69,0.06,
Mrk1044,10.5,-2.7,3.3,1178,22,766,8,6.45,-0.13,0.12,1.22,-0.41,0.4,43.1,0.1,
Mrk382,7.5,-2,2.9,1462,296,840,37,6.5,-0.29,0.19,1.18,-0.53,0.69,43.12,0.08,
Mrk142,7.9,-1.1,1.2,1588,58,948,12,6.59,-0.07,0.07,1.65,-0.23,0.23,43.56,0.06,
IRASF12397,9.7,-1.8,5.5,1802,560,1150,122,6.79,-0.45,0.27,2.26,-0.62,0.98,44.23,0.05,
Mrk486,23.7,-2.7,7.5,1942,67,1296,23,7.24,-0.06,0.12,0.55,-0.32,0.2,43.69,0.05,
Mrk493,11.6,-2.6,1.2,778,12,513,5,6.14,-0.11,0.04,1.88,-0.21,0.33,43.11,0.08,
IRAS04416,13.3,-1.4,13.9,1522,44,1056,29,6.78,-0.06,0.31,2.63,-0.67,0.16,44.47,0.03,
SDSSJ075101,33.4,-5.6,15.6,1495,67,1055,32,7.16,-0.09,0.17,1.34,-0.41,0.25,44.12,0.05,
SDSSJ080101,8.3,-2.7,9.7,1930,18,1119,3,6.78,-0.17,0.34,2.33,-0.72,0.39,44.27,0.03,
SDSSJ080131,11.5,-3.6,8.4,1188,3,850,12,6.5,-0.16,0.24,2.46,-0.54,0.38,43.98,0.04,
SDSSJ081441,18.4,-8.4,12.7,1615,22,1122,11,6.97,-0.27,0.23,1.56,-0.57,0.63,44.01,0.07,
SDSSJ081456,24.3,-16.4,7.7,2409,61,1438,32,7.44,-0.49,0.12,0.59,-0.3,1.03,43.99,0.04,
SDSSJ093922,11.9,-6.3,2.1,1209,16,835,11,6.53,-0.33,0.07,2.54,-0.2,0.71,44.07,0.04,
SDSSJ075949,55,-13.1,17,1807,11,1100,3,7.54,-0.12,0.12,0.7,-0.29,0.29,44.2,0.03,
SDSSJ080131,11.2,-9.8,14.8,1290,13,800,5,6.56,-0.9,0.37,2.29,-0.8,1.87,43.95,0.04,
SDSSJ084533,15.2,-6.3,3.2,1243,13,818,10,6.66,-0.23,0.08,2.98,-0.22,0.52,44.54,0.04,
SDSSJ085946,34.8,-26.3,19.2,1718,16,1031,14,7.3,-0.61,0.19,1.51,-0.43,1.27,44.41,0.03,
SDSSJ102339,24.9,-3.9,19.8,1733,29,1139,19,7.16,-0.08,0.25,1.29,-0.56,0.2,44.09,0.03,
