Object,t_cent,t_c_nerr,t_c_perr,log_L_agn,log_L_agn_err,z
Mrk335,8.7,1.9,1.6,43.69,0.06,0.0258
Mrk1044,10.5,2.7,3.3,43.1,0.1,0.0165
Mrk382,7.5,2,2.9,43.12,0.08,0.0337
Mrk142,7.9,1.1,1.2,43.56,0.06,0.0449
IRASF12397,9.7,1.8,5.5,44.23,0.05,0.0435
Mrk486,23.7,2.7,7.5,43.69,0.05,0.0389
Mrk493,11.3,2.6,1.2,43.11,0.08,0.0313
IRAS04416,13.3,1.4,13.9,44.47,0.03,0.0889
SDSSJ075101,33.4,5.6,15.6,44.12,0.05,0.1208
SDSSJ080101,8.3,2.7,9.7,44.27,0.03,0.1396
SDSSJ080131,11.5,3.6,8.4,43.98,0.04,0.1786
SDSSJ081441,18.4,8.4,12.7,44.01,0.07,0.1628
SDSSJ081456,24.3,16.4,7.7,43.99,0.04,0.1197
SDSSJ093922,11.9,6.3,2.1,44.07,0.04,0.1859
SDSSJ075949,55,13.1,17,44.2,0.03,0.188
SDSSJ080131,11.2,9.8,14.8,43.95,0.04,0.1786
SDSSJ084533,15.2,6.3,3.2,44.54,0.04,0.3018
SDSSJ085946,34.8,26.3,19.2,44.41,0.03,0.2438
SDSSJ102339,24.9,3.9,19.8,44.09,0.03,0.1364
