#RMID,redshift,tau_cent,tau_cent_uperr,tau_cent_loerr,sigma_line_mean,sigma_line_mean_err,name,redshift,tau_cent,tau_cent_uperr,tau_cent_loerr,sigma_line_mean,sigma_line_mean_err,vp_msun_uperr/(1.e7),vp_msun_loerr/(1.e7),mbh/(1.e7),mbh_uperr/(1.e7),mbh_loerr/(1.e7),sigstar,sigstar_err
16,0.848,53.097,0.302,0.418,4585,50,17,1.848,54.097,1.302,1.418,4586,51,7,7,194.3,31.1,31.1,-99,-99
17,0.456,22.457,10.751,28.423,6937,14,18,1.456,23.457,11.751,29.423,6938,15,8.2,20.8,72.9,36.8,93,191.4,3.7
33,0.715,27.755,16.577,23.51,776,13,34,1.715,28.755,17.577,24.51,777,14,0.2,0.3,1.8,1.1,1.5,182.4,21.7
78,0.581,49.83,0.824,0.626,6010,23,79,1.581,50.83,1.824,1.626,6011,24,5.1,5.1,141.9,22.8,22.8,-99,-99
88,0.516,55.526,7.565,15.812,3020,11,89,1.516,56.526,8.565,16.812,3021,12,2.1,3.3,45.6,9.6,14.9,128.5,12.3
101,0.458,20.266,7.849,15.846,1186,2,102,1.458,21.266,8.849,16.846,1187,3,0.2,0.3,1.7,0.7,1.3,-99,-99
118,0.714,20.655,0.692,2.121,1557,4,119,1.714,21.655,1.692,3.121,1558,5,0.3,0.4,8.5,1.4,1.6,-99,-99
140,0.609,34.813,19.338,14.109,1757,57,141,1.609,35.813,20.338,15.109,1758,58,1.7,1.3,12.9,7.5,5.6,145.6,9.6
160,0.359,29.584,18.772,11.425,1773,6,161,1.359,30.584,19.772,12.425,1774,7,1.4,0.9,9.4,6.2,3.9,-99,-99
177,0.482,17.101,8.964,8.488,2541,9,178,1.482,18.101,9.964,9.488,2542,10,0.8,0.7,6.2,3.4,3.2,171.5,10.7
184,0.193,26.037,5.443,12.764,1207,3,185,1.193,27.037,6.443,13.764,1208,4,0.1,0.3,2.4,0.6,1.2,136.7,3.8
191,0.442,8.685,1.042,1.111,845,12,192,1.442,9.685,2.042,2.111,846,13,0,0,0.8,0.2,0.2,152,8.5
215,0.884,33.634,0.757,0.985,7078,47,216,1.884,34.634,1.757,1.985,7079,48,6.3,6.3,173.1,28,28.2,-99,-99
