#RMID,longname,RA,Dec,z,imag,snr,wLw,Mbh
5,J141541.41+530424.3,213.9225,53.0734,1.02,20.716,5,44.5,8.1
9,J141359.51+531049.3,213.498,53.1804,0.898,20.473,4.3,44.1,7.9
16,J141606.95+530929.8,214.029,53.1583,0.848,19.716,11.5,44.8,9
17,J141324.28+530527.0,213.3511,53.0908,0.456,19.213,14.1,43.9,8.4
18,J141323.27+531034.3,213.3469,53.1762,0.849,20.205,5.2,44.3,8.9
20,J141411.66+525149.0,213.5486,52.8636,1.124,21.529,2,-99,-99
21,J141314.97+530139.4,213.3124,53.0276,1.026,21.167,3,44.5,7.6
27,J141600.80+525255.5,214.0033,52.8821,1.023,20.968,2.1,44.4,8.5
29,J141310.71+525750.2,213.2946,52.964,0.816,21.142,2.6,43.8,7.7
33,J141532.36+524905.9,213.8848,52.8183,0.715,20.49,6.6,44.1,7.6
40,J141648.89+530903.6,214.2037,53.151,0.6,20.868,3.4,43.5,7.1
50,J141522.54+524421.5,213.8439,52.7393,0.526,20.818,4.3,43.6,8.2
53,J141222.76+530648.6,213.0948,53.1135,0.894,21.361,2.8,44,8
61,J141559.99+524416.1,214,52.7378,0.983,21.379,3.3,44.4,8.1
62,J141417.69+532810.8,213.5737,53.4697,0.808,20.528,4.2,44,8.6
77,J141747.02+530349.7,214.4459,53.0638,0.914,21.124,2.7,44,7.8
78,J141154.17+531119.5,212.9757,53.1887,0.581,20.134,13.3,44.4,8.8
85,J141539.59+523727.9,213.915,52.6244,0.237,18.563,18.5,43.3,8.1
88,J141151.78+525344.1,212.9657,52.8956,0.516,19.731,10.9,44.1,8.5
90,J141144.12+531508.6,212.9338,53.2524,0.923,20.753,1.3,43.8,8.8
101,J141214.20+532546.7,213.0592,53.4296,0.458,18.837,21.3,44.4,7.9
102,J141352.99+523444.2,213.4708,52.579,0.86,19.536,14.4,44.7,8
103,J141155.26+524733.6,212.9802,52.7927,0.517,19.928,4.8,43.7,9.2
111,J141626.48+533406.5,214.1104,53.5685,1.133,20.524,3.4,-99,-99
118,J141412.78+523209.0,213.5533,52.5358,0.714,19.318,21.2,44.8,8.3
121,J141125.70+524924.2,212.8571,52.8234,0.968,21.3,3.3,44.3,8
122,J141628.70+523346.4,214.1196,52.5629,0.986,20.933,5,44.6,8.1
123,J141837.85+531017.6,214.6577,53.1716,0.889,20.44,6.7,44.5,8.6
125,J141149.92+532721.1,212.958,53.4559,1.076,21.524,2.4,-99,-99
126,J141408.76+533938.3,213.5365,53.6606,0.192,18.561,20.7,43.3,7.3
133,J141731.59+533224.4,214.3816,53.5401,0.981,20.531,5.7,44.4,7.8
134,J141054.58+531532.9,212.7274,53.2591,0.964,19.825,11.1,44.8,8.3
140,J141856.21+531007.1,214.7342,53.1687,0.609,20.162,5.3,43.8,7.5
141,J141324.66+522938.2,213.3527,52.4939,0.812,20.551,3.9,44.2,8.7
160,J141041.25+531849.0,212.6719,53.3136,0.359,19.679,9,43.8,8.2
165,J141804.59+523745.0,214.5191,52.6292,1.086,21.175,3.5,-99,-99
168,J141723.39+523153.9,214.3474,52.5316,0.484,21.137,2.4,43,7.2
171,J141321.13+534344.7,213.338,53.7291,0.79,20.992,3.4,44,7.5
173,J141147.60+523414.6,212.9483,52.5707,0.97,19.917,10.1,44.8,9
175,J141531.32+522407.8,213.8805,52.4022,0.819,21.301,2.9,44,7.9
177,J141724.59+523024.9,214.3525,52.5069,0.482,19.56,10.8,44,8.4
184,J141721.80+534102.6,214.3408,53.6841,0.193,17.857,30,43.7,7.2
185,J141735.95+523029.9,214.3998,52.5083,0.987,19.889,8.1,44.8,8.9
187,J141005.21+531003.9,212.5217,53.1677,0.997,21.119,1.2,43.9,9.1
191,J141645.58+534446.8,214.1899,53.7463,0.442,20.448,6.2,43.6,7.5
192,J141649.44+522531.0,214.206,52.4253,1.024,19.971,6.8,45,8.5
193,J141542.16+522207.0,213.9257,52.3686,1.003,20.498,7.2,44.8,7.7
203,J141811.34+533808.6,214.5473,53.6357,0.977,20.583,5.3,44.4,8.2
204,J141221.73+522556.6,213.0906,52.4324,0.922,18.575,20.6,45.1,8.7
211,J141522.01+535033.5,213.8417,53.8426,0.971,19.448,8.9,44.7,8.2
215,J141952.23+531340.9,214.9676,53.228,0.884,21.29,3.6,44.2,8.7
229,J141018.04+532937.5,212.5752,53.4937,0.47,20.271,4.7,43.6,8
232,J141651.26+522046.1,214.2136,52.3461,0.807,20.776,3.8,44,7.6
235,J141111.30+534029.4,212.7971,53.6748,0.785,19.872,10,44.4,8.4
240,J141420.87+521629.9,213.587,52.275,0.762,20.879,3.6,43.9,8.5
243,J140924.89+530002.7,212.3537,53.0007,0.659,20.036,8.3,44.3,8.5
252,J141751.14+522311.1,214.4631,52.3864,0.281,19.768,7.1,42.7,8.6
255,J141525.41+535508.2,213.8559,53.9189,0.992,21.471,2,44.2,8.2
258,J142027.51+530454.5,215.1146,53.0818,0.994,20.762,2.3,44.4,8.5
260,J141018.04+523446.1,212.5752,52.5795,0.995,21.636,15.5,45,8.1
265,J142023.88+531605.1,215.0995,53.2681,0.734,20.645,6.8,44.2,8.3
267,J141112.72+534507.1,212.803,53.752,0.587,19.623,10.5,44.1,7.9
268,J141043.36+534111.8,212.6807,53.6866,0.65,20.718,3.9,43.7,8.5
270,J140943.01+524153.1,212.4292,52.6981,0.421,20.095,3.7,43.5,8.3
272,J141625.71+535438.5,214.1071,53.9107,0.263,18.822,23.2,43.9,7.8
274,J141949.82+533033.5,214.9576,53.5093,0.793,20.546,4.9,44.3,8.3
277,J141409.44+535648.2,213.5393,53.9467,0.825,20.649,3.8,44,7.8
278,J141717.07+521751.5,214.3211,52.2976,1.022,20.587,5.4,44.8,8.5
285,J141650.92+521528.6,214.2122,52.2579,1.034,21.3,3.3,-99,-99
290,J141138.06+534957.7,212.9086,53.8327,1.078,19.865,7.5,-99,-99
291,J141643.24+521435.8,214.1802,52.2433,0.531,19.825,4.4,43.9,8.6
296,J141838.35+522359.3,214.6598,52.3998,1.12,18.75,22.6,-99,-99
297,J141002.21+533730.2,212.5092,53.6251,1.026,20.566,3.8,44.5,7.9
300,J141941.11+533649.6,214.9213,53.6138,0.646,19.491,16.5,44.5,8.2
301,J142010.25+524029.6,215.0427,52.6749,0.548,19.764,8.3,44.1,8.5
302,J140850.91+525750.9,212.2121,52.9642,0.981,20.954,3.1,44.3,8.3
303,J141830.20+522212.5,214.6259,52.3701,0.82,20.882,4,44,8.3
305,J141004.27+523141.0,212.5178,52.5281,0.527,19.505,11.3,44.2,7.9
306,J141622.95+521212.2,214.0956,52.2034,1.123,20.389,3.2,-99,-99
308,J141302.60+535729.9,213.2608,53.9583,1.13,20.815,2.7,-99,-99
316,J142052.44+525622.4,215.2185,52.9396,0.676,18.028,34,45,8.5
320,J142038.52+532416.5,215.1605,53.4046,0.265,19.467,14.4,43.4,8.1
323,J141123.22+535204.2,212.8467,53.8678,0.804,21.104,2.5,43.6,7.8
324,J141658.28+521205.1,214.2428,52.2014,0.602,19.857,13.2,44.3,8.8
328,J141313.27+535944.0,213.3053,53.9956,1.076,19.897,13.5,-99,-99
329,J141659.76+535806.7,214.249,53.9685,0.72,18.107,34.8,45.2,8.2
331,J142107.76+530318.2,215.2823,53.0551,0.735,21.332,2.8,43.9,8.6
333,J141633.35+521001.1,214.1389,52.167,1.089,20.811,3.8,-99,-99
336,J141514.15+540222.9,213.8089,54.0397,0.849,20.77,4.3,44.3,8.6
337,J142103.30+531822.4,215.2638,53.3062,0.708,20.899,2.7,43.6,8.4
338,J141955.62+534007.2,214.9818,53.6687,0.418,20.084,5.6,43.4,8.4
341,J141500.38+520658.6,213.7516,52.1163,0.424,18.562,24.8,44.4,8.2
350,J141914.50+534810.6,214.8104,53.8029,0.86,21.235,2.4,43.9,7.8
354,J141957.27+534157.9,214.9887,53.6994,1.111,21.306,1.9,-99,-99
355,J141712.97+520957.5,214.304,52.166,0.753,20.945,2.8,43.5,8.3
356,J141533.89+520558.0,213.8912,52.0995,0.986,18.724,30.5,45.3,8.5
369,J141304.34+520659.3,213.2681,52.1165,0.719,20.252,6,44.1,8.3
370,J142021.37+533900.8,215.089,53.6502,0.883,21.372,3.2,44,8.5
371,J141123.42+521331.7,212.8476,52.2255,0.472,19.571,9.5,44.1,8.1
373,J141859.75+521809.7,214.749,52.3027,0.884,19.626,12.6,44.9,8.8
375,J141530.66+520439.5,213.8777,52.0776,0.647,19.718,13.3,44.5,8.7
